metric_name,cell_line,ablation_type,boot_idx,beta_x1_restricted,beta_x1_full,beta_x2,r2_restricted,r2_full,delta_r2,partial_r2_x2,cohen_f2_x2,n_boot_rows,n_group_rows
foreground_psnr,U2-OS,RandomGamma,57,-0.08897376842501958,-0.08900118757902808,0.24150595377831224,0.01933558909337818,0.01934200954108145,6.420447703270327e-06,6.547038550460538e-06,6.547081414454952e-06,7896,15792
foreground_psnr,U2-OS,RandomGamma,58,-0.08667618018491587,-0.08674582845118914,1.4717662627893264,0.019945543596499138,0.020190478452020266,0.00024493485552112837,0.0002499196385678038,0.00024998211400738496,7896,15792
foreground_psnr,U2-OS,RandomGamma,59,-0.09044584376245932,-0.09044688200618514,-0.046038054659780225,0.021757958667913635,0.021758197729691675,2.390617780401172e-07,2.4437896547012364e-07,2.44379025191217e-07,7896,15792
foreground_psnr,U2-OS,RandomGamma,60,-0.09286107280243702,-0.0928509456386468,-1.193318290865455,0.02230980552454831,0.02246823708741541,0.0001584315628671007,0.00016204679535740057,0.0001620730587771892,7896,15792
foreground_psnr,U2-OS,RandomGamma,61,-0.09008273759203118,-0.08994813091688081,-1.1758539856197132,0.02067352275757406,0.02082630779497452,0.00015278503740046023,0.00015601032030775912,0.00015603466332556366,7896,15792
foreground_psnr,U2-OS,RandomGamma,62,-0.09144782460008782,-0.09144457632247333,-0.4678247537429812,0.021971725940307385,0.021996303123831162,2.4577183523777357e-05,2.512931801220843e-05,2.5129949510701316e-05,7896,15792
foreground_psnr,U2-OS,RandomGamma,63,-0.08908652149764557,-0.08907308731621623,-0.7554082689238872,0.021084703449568143,0.02114841060832917,6.370715876102828e-05,6.507933728844967e-05,6.508357288424133e-05,7896,15792
foreground_psnr,U2-OS,RandomGamma,64,-0.08220096718784381,-0.08227499960756414,-0.7779301813750298,0.017870172235365467,0.017938531251996626,6.835901663115873e-05,6.960283121300419e-05,6.960767610433521e-05,7896,15792
foreground_psnr,U2-OS,RandomGamma,65,-0.09369007620414845,-0.09368445127489036,0.5023359172937604,0.022842762185236398,0.022871060668521848,2.8298483285449372e-05,2.8960009904581824e-05,2.8960848611044446e-05,7896,15792
foreground_psnr,U2-OS,RandomGamma,66,-0.08436033592698611,-0.0843154667301517,0.3358449721985293,0.019458969511410462,0.01947172653698781,1.2757025577347925e-05,1.3010190477181033e-05,1.3010359744439484e-05,7896,15792
foreground_psnr,U2-OS,RandomGamma,67,-0.09283468331943222,-0.09282080207393195,-0.3087343506976092,0.021746978750253665,0.021757411765184087,1.0433014930422146e-05,1.066494526854992e-05,1.0665059010820556e-05,7896,15792
foreground_psnr,U2-OS,RandomGamma,68,-0.08925977756400655,-0.08934976918113953,-3.0332832706010486,0.020824327172312418,0.02185045382575712,0.0010261266534447033,0.001047949496622429,0.0010490488468334004,7896,15792
foreground_psnr,U2-OS,RandomGamma,69,-0.09370301221751853,-0.09335263298313048,-2.3299811633072736,0.022811037073280582,0.023422307363766492,0.0006112702904859102,0.0006255394950994244,0.0006259310396859566,7896,15792
foreground_psnr,U2-OS,RandomGamma,70,-0.08511740205017614,-0.08516461628695643,-2.433696746298726,0.018803505289677447,0.0194591766661949,0.0006556713765174527,0.000668236566327141,0.000668683405029678,7896,15792
foreground_psnr,U2-OS,RandomGamma,71,-0.08546112137146844,-0.08542718813451688,-2.1947978481179127,0.019060816800419378,0.019597176236585523,0.000536359436166145,0.0005467815389091435,0.0005470806725211721,7896,15792
foreground_psnr,U2-OS,RandomGamma,72,-0.0981309311624895,-0.09813204449727092,0.022329474712473513,0.026252417014708818,0.026252473052420844,5.603771202622454e-08,5.754849922648898e-08,5.7548502538318933e-08,7896,15792
foreground_psnr,U2-OS,RandomGamma,73,-0.09258039735734422,-0.09239676785558729,-2.2005404322669824,0.021745308386283635,0.022281493630907367,0.0005361852446237325,0.0005481039336895469,0.0005484045163622181,7896,15792
foreground_psnr,U2-OS,RandomGamma,74,-0.08610932967446708,-0.08610850097439954,-0.9216069860313761,0.01911279840865643,0.0192070024016594,9.420399300297255e-05,9.603957809842007e-05,9.604880258489718e-05,7896,15792
foreground_psnr,U2-OS,RandomGamma,75,-0.08923706730164466,-0.08927001385122077,-1.810867623315334,0.02093925495640314,0.02130537542474986,0.0003661204683467201,0.0003739507177671769,0.00037409060921900434,7896,15792
foreground_psnr,U2-OS,RandomGamma,76,-0.08694282026678188,-0.0869545495328005,0.27665339276629053,0.019688096572561542,0.019696672645773572,8.576073212029911e-06,8.748310799905228e-06,8.74838733351662e-06,7896,15792
foreground_psnr,U2-OS,RandomGamma,77,-0.09006241815422553,-0.09006146183108434,0.09418563804208957,0.02108873613270923,0.021089725598849696,9.894661404663552e-07,1.0107822608531097e-06,1.0107832825349213e-06,7896,15792
foreground_psnr,U2-OS,RandomGamma,78,-0.08514857619350766,-0.08516845361137917,0.9877010380592572,0.018481383500701942,0.018589739629130464,0.00010835612842852171,0.00011039640675893305,0.00011040859547114836,7896,15792
foreground_psnr,U2-OS,RandomGamma,79,-0.09137696863449933,-0.09140745687698563,-1.7087297516846953,0.021994958864078318,0.022323480510365812,0.00032852164628749403,0.0003359099723104971,0.00033602284573530373,7896,15792
foreground_psnr,U2-OS,RandomGamma,80,-0.09092841220934751,-0.09090122252935322,1.6801035241258173,0.02151421351201044,0.021827288728568206,0.0003130752165577677,0.000319958880221926,0.00032006128667281224,7896,15792
